#Frame      Mode1    Mode2
     551   -6.938   -8.471
     552   -6.057   -8.246
     553   -7.699   -8.161
     554   -9.165   -8.361
     555   -9.214   -8.887
     556   -7.613   -7.121
     557   -5.376   -6.990
     558   -3.899   -6.703
     559   -4.740   -5.741
     560   -2.836   -5.235
     561   -2.244   -6.352
     562   -2.787   -5.925
     563   -3.949   -6.702
     564   -3.736   -7.117
     565   -3.937   -7.325
     566   -2.236   -6.766
     567   -2.481   -6.064
     568   -1.927   -6.026
     569   -3.559   -6.039
     570   -3.312   -5.311
     571   -4.576   -6.103
     572   -6.344   -5.903
     573   -4.470   -5.488
     574   -4.561   -4.681
     575   -6.485   -5.807
     576   -6.568   -4.963
     577   -5.098   -5.322
     578   -4.463   -5.826
     579   -4.560   -6.183
     580   -7.140   -5.518
     581   -5.190   -5.696
     582   -5.900   -5.098
     583   -5.803   -5.760
     584   -5.169   -5.125
     585   -5.746   -5.661
     586   -5.228   -6.206
     587   -5.133   -5.468
     588   -6.742   -6.214
     589   -3.279   -5.677
     590   -3.299   -5.771
     591   -2.674   -5.399
     592   -2.688   -6.334
     593   -3.940   -5.376
     594   -3.404   -5.683
     595   -4.141   -5.099
     596   -4.641   -5.318
     597   -5.010   -6.036
     598   -6.468   -4.769
     599   -6.520   -4.090
     600   -6.753   -3.202
     601   -6.029   -3.703
     602   -5.347   -3.430
     603   -4.655   -4.815
     604   -4.847   -4.122
     605   -6.235   -5.114
     606   -5.963   -5.010
     607   -5.459   -6.232
     608   -6.469   -5.688
     609   -6.359   -5.581
     610   -7.684   -6.265
     611   -7.940   -4.683
     612   -6.866   -5.390
     613   -6.353   -4.679
     614   -8.057   -5.180
     615   -7.944   -4.845
     616   -8.910   -5.010
     617   -7.581   -4.733
     618   -7.940   -4.595
     619   -7.559   -3.371
     620   -9.085   -3.497
     621   -8.277   -3.802
     622   -9.953   -5.270
     623   -8.892   -5.264
     624   -9.589   -5.767
     625   -9.093   -5.772
     626   -9.091   -6.705
     627   -9.549   -6.439
     628   -8.764   -6.512
     629   -9.970   -5.505
     630   -9.582   -6.170
     631  -10.593   -6.318
     632  -10.273   -4.835
     633  -10.987   -4.232
     634  -10.041   -3.552
     635  -10.579   -3.210
     636  -11.099   -3.744
     637   -9.364   -3.718
     638   -8.614   -2.230
     639  -10.088   -2.868
     640   -9.185   -2.796
     641   -8.633   -2.758
     642   -9.810   -2.475
     643  -10.514   -2.702
     644  -10.690   -2.456
     645  -10.945   -1.774
     646  -11.514   -0.521
     647  -11.702    0.636
     648  -10.487   -0.327
     649  -10.228   -0.060
     650  -11.035    0.225
     651   -9.790    0.925
     652  -10.255    0.469
     653  -10.110    0.590
     654  -10.166   -0.353
     655   -8.456   -0.720
     656   -9.025   -1.156
     657   -8.694   -0.406
     658  -10.557    0.364
     659   -9.865   -1.057
     660   -8.739    1.432
     661  -10.224    0.642
     662   -9.969    1.158
     663   -9.906    0.454
     664   -6.770   -0.547
     665   -7.339    0.501
     666   -7.485   -0.380
     667   -8.400   -0.071
     668   -8.384   -1.100
     669   -8.924   -1.768
     670   -8.639    0.370
     671  -10.754    2.133
     672  -11.310    3.283
     673  -11.683    1.125
     674  -11.827    1.928
     675  -11.625    0.979
     676  -12.230    1.546
     677  -10.974    0.780
     678  -11.328    0.922
     679  -11.333   -1.043
     680  -12.190   -0.738
     681  -12.351   -0.449
     682  -12.117   -0.475
     683  -11.258    0.086
     684   -9.877    0.355
     685  -10.450    0.817
     686   -9.548    0.452
     687  -11.430   -0.843
     688  -10.177    0.315
     689   -9.465   -0.571
     690   -9.954   -0.447
     691   -9.633   -0.568
     692   -9.369   -1.256
     693   -6.963   -0.170
     694   -6.564   -1.752
     695   -8.399   -1.552
     696   -8.636   -1.833
     697   -8.485   -1.589
     698   -7.890   -1.823
     699   -7.937   -0.244
     700  -10.161   -1.166
     701   -9.168   -0.806
     702  -10.451   -1.232
     703   -7.693   -0.741
     704  -11.065   -1.859
     705   -9.283   -1.709
     706   -8.295   -1.205
     707   -8.687   -0.974
     708   -8.551   -0.777
     709   -8.095   -1.470
     710   -8.616   -0.095
     711   -9.861    0.153
     712   -9.488   -1.342
     713   -9.726   -1.825
     714   -9.619   -0.568
     715   -9.192   -1.677
     716  -10.123   -2.569
