#Frame      Mode1    Mode2
     523  -11.429    1.424
     524  -11.864    3.010
     525  -11.767    2.962
     526   -9.867    2.485
     527  -10.696   -0.172
     528  -12.360    1.344
     529  -12.151    1.241
     530  -11.668    0.559
     531  -13.239   -2.772
     532  -12.929   -1.333
     533  -12.609   -1.805
     534  -12.771   -2.138
     535  -12.564   -0.773
     536  -12.059   -1.931
     537  -12.504   -0.638
     538  -10.639   -2.168
     539  -11.204   -1.981
     540  -12.805   -1.247
     541  -11.272   -1.304
     542  -11.042    0.501
     543   -9.864    0.117
     544  -11.017    0.765
     545   -9.956    0.751
     546  -10.922    0.253
     547   -9.562    0.138
     548  -11.400    0.325
     549  -10.409    2.440
     550  -11.188   -0.331
     551   -9.533   -1.374
     552   -8.916   -1.660
     553  -10.854   -1.782
     554  -12.707   -3.152
     555  -12.063   -0.997
     556  -11.964    0.752
     557  -11.212    1.504
     558  -12.632    2.670
     559  -11.636    3.382
     560  -12.951    2.015
     561  -11.606    1.922
     562  -11.311    1.686
     563  -11.611    1.015
     564  -13.703    0.427
     565  -13.077    1.371
     566  -12.378    2.411
     567  -12.831    2.898
     568  -13.653    3.095
     569  -14.377    2.256
     570  -12.687    1.243
     571  -11.961    0.440
     572  -12.701    1.521
     573  -10.788    1.349
     574  -11.380    2.866
     575  -11.957    2.030
     576  -11.957    0.674
     577  -11.773    2.670
     578  -11.077    2.105
     579  -12.361    0.764
     580  -13.056    0.616
     581  -13.988    0.896
     582  -13.415    0.103
     583  -12.506    0.295
     584  -12.732   -0.345
     585  -13.014   -0.039
     586  -13.252    0.818
     587  -12.255    1.451
     588  -13.870    1.342
     589  -12.714    2.108
     590  -14.061    2.758
     591  -13.966    2.964
     592  -13.530    2.178
     593  -14.035    1.087
     594  -14.650    1.545
     595  -14.082    3.320
     596  -12.624    2.790
     597  -12.484    2.059
     598  -12.286    1.955
     599  -10.996    2.450
     600   -9.890    3.221
     601   -8.769    2.896
     602   -8.260    2.852
     603   -7.208    2.142
     604   -7.525    2.326
     605   -8.892    3.277
     606   -8.631    1.689
     607   -7.752   -0.200
     608   -6.432   -0.087
     609   -7.016    0.977
     610   -6.323    0.720
     611   -5.533    1.027
     612   -7.612    1.958
     613  -10.498    1.545
     614   -9.989    1.873
     615   -9.826    1.538
     616   -7.889    0.432
     617   -7.264    0.820
     618   -8.251    0.319
     619   -8.395    0.693
     620  -10.180    2.626
     621   -9.847    3.356
     622  -10.115    2.819
     623  -11.320    1.792
     624  -10.291    1.039
     625  -10.027    0.605
     626  -10.661    1.684
     627  -10.378    1.819
     628   -8.627    2.786
     629  -10.323    2.624
     630  -10.401    3.124
     631  -10.251    3.735
     632   -9.785    1.665
     633   -9.884    2.833
     634   -8.374    2.864
     635   -8.408    3.766
     636   -8.424    1.542
     637   -8.074    3.200
     638   -8.912    4.197
     639   -9.626    2.465
     640  -10.093    3.088
     641   -8.504    2.405
     642  -10.532    0.495
     643   -9.194    2.224
     644   -9.271    1.964
     645   -9.559    2.644
     646   -9.973    2.023
     647   -8.977    3.229
     648   -8.435    2.192
     649   -7.269    1.249
     650   -5.530    2.193
     651   -5.840    3.284
     652   -5.592    3.702
     653   -6.885    2.325
     654   -6.304    2.214
     655   -6.976    1.215
     656   -6.233    2.570
     657   -6.853   -0.588
     658   -7.056   -0.614
     659   -5.810   -0.914
     660   -7.451   -1.452
     661   -8.655   -0.635
     662   -9.192    0.877
     663  -11.544    2.538
     664  -10.978    4.152
     665  -10.236    1.906
     666  -10.545    1.779
     667   -9.803    2.468
     668   -9.777    5.030
     669   -9.188    3.411
     670   -9.910    3.350
     671   -9.418    5.740
     672   -9.384    5.983
     673   -9.564    3.078
     674   -8.113    5.111
     675   -9.461    5.539
     676  -10.427    4.537
     677  -10.139    3.415
     678   -9.894    3.838
     679   -9.929    3.321
     680  -10.175    3.338
     681  -10.920    5.028
     682  -10.185    4.443
     683  -10.712    3.879
     684   -9.491    1.523
     685  -10.310    0.809
     686  -11.495    2.125
     687  -10.807    3.387
     688  -11.028    3.036
     689  -12.644    4.234
     690  -12.443    4.466
     691  -10.949    5.287
     692  -11.951    5.316
     693  -10.978    6.005
     694  -11.608    5.346
     695  -11.061    2.271
     696  -10.044    1.882
     697  -10.606    1.014
