#Frame      Mode1    Mode2
     389   -4.095    2.592
     390   -2.790    2.122
     391   -3.187    2.054
     392   -3.066    1.452
     393   -2.493    0.676
     394   -2.747    2.056
     395   -1.485   -0.141
     396   -1.275    2.211
     397   -0.015    1.341
     398   -1.432    0.068
     399   -4.543    2.290
     400   -3.486    1.780
     401   -4.617    3.505
     402   -3.303    1.305
     403   -1.223    0.529
     404   -1.824    0.279
     405    0.430   -0.385
     406   -0.940   -3.675
     407   -1.959   -2.915
     408   -3.169   -3.827
     409   -1.038   -3.546
     410   -0.041   -3.206
     411   -3.126   -1.425
     412   -1.995   -3.219
     413   -2.105   -2.593
     414   -1.948   -1.651
     415   -5.152    0.352
     416   -6.655    0.843
     417   -5.240    1.570
     418   -3.598    1.904
     419   -4.017    1.692
     420   -2.375    0.502
     421   -4.352   -1.387
     422   -4.677   -0.964
     423   -3.771   -1.075
     424   -4.250   -1.890
     425   -3.816   -1.802
     426   -4.937   -1.787
     427   -4.506   -1.518
     428   -5.518   -1.052
     429   -4.002   -1.215
     430   -4.875   -3.766
     431   -4.327   -4.006
     432   -5.353   -2.923
     433   -5.408   -2.553
     434   -6.324   -4.986
     435   -4.600   -3.263
     436   -4.335   -4.138
     437   -6.127   -2.287
     438   -3.752   -1.148
     439   -3.594   -0.445
     440   -3.359   -0.834
     441   -1.294   -2.671
     442   -2.695   -3.139
     443   -2.538   -3.953
     444   -5.305   -2.775
     445   -6.078   -4.729
     446   -7.298   -4.639
     447   -7.138   -3.086
     448   -7.650   -4.880
     449   -4.839   -6.426
     450   -5.111   -5.458
     451   -3.199   -5.393
     452   -4.822   -4.366
     453   -2.872   -4.312
     454   -3.754   -6.567
     455   -2.978   -9.368
     456   -1.868   -8.823
     457   -4.819   -7.309
     458   -3.429   -7.256
     459   -3.611   -6.985
     460   -3.824   -6.880
     461   -0.905   -7.024
     462   -2.055   -6.340
     463   -1.351   -3.759
     464   -1.420   -2.949
     465   -2.977   -4.272
     466   -3.196   -4.646
     467   -3.478   -2.000
     468   -3.596   -2.637
     469   -2.825   -2.694
     470   -1.841   -3.201
     471   -2.091   -2.042
     472   -2.825   -3.877
     473   -1.364   -1.933
     474   -1.093   -3.170
