#Frame      Mode1    Mode2
     779   -6.249   -1.623
     780   -6.536   -4.505
     781   -6.191   -4.817
     782   -6.713   -5.161
     783   -6.895   -3.621
     784   -5.247   -3.533
     785   -4.974   -4.751
     786   -4.931   -5.218
     787   -7.537   -1.071
     788   -8.025   -2.414
     789   -8.131   -2.258
     790   -5.899   -2.367
     791   -5.113   -3.007
     792   -4.154   -5.846
     793   -5.923   -5.582
     794   -5.174   -5.674
     795   -6.599   -5.174
     796   -6.081   -6.689
     797   -5.956   -7.164
     798   -6.412   -7.192
     799   -5.220   -8.031
     800   -2.995   -5.073
     801   -4.336   -1.784
     802   -3.985   -1.639
     803   -4.769   -0.842
     804   -3.403    0.413
     805   -5.934   -0.087
     806   -5.869    0.147
     807   -4.803   -0.276
     808   -5.403   -3.645
     809   -5.813   -5.164
     810   -6.158   -4.110
     811   -7.434   -6.560
     812   -7.407   -5.349
     813   -7.236   -7.085
     814   -6.685   -7.640
     815   -5.788   -7.954
     816   -7.113   -7.775
     817   -8.622   -5.103
     818   -6.742   -7.699
     819   -6.776   -6.201
     820   -5.784   -6.028
     821   -7.528   -3.531
     822   -6.327   -2.160
     823   -5.715   -3.167
     824   -6.958   -3.737
     825   -6.041   -3.413
     826   -6.093   -5.928
     827   -6.798   -4.246
     828   -4.707   -3.531
     829   -3.480   -1.998
     830   -4.241   -2.590
     831   -3.407   -2.809
     832   -3.439   -5.354
     833   -4.279   -5.111
     834   -4.371   -1.370
     835   -3.972   -0.994
     836   -4.004   -0.830
     837   -4.862   -3.833
     838   -6.935   -1.345
     839   -6.603   -2.433
     840   -8.070   -4.369
     841   -6.750   -5.778
     842   -6.488   -6.647
     843   -4.247   -4.660
     844   -6.705   -2.116
     845   -7.510    0.086
     846   -7.534   -0.374
     847   -6.693    3.518
     848   -5.084    0.823
     849   -6.302    2.128
     850   -5.282    2.907
     851   -7.141    1.175
     852   -7.397    0.491
     853   -6.242   -0.408
     854   -6.375    0.967
     855   -5.591    2.083
     856   -3.178    2.331
     857   -3.579    2.484
     858   -1.398    1.576
     859   -3.049    0.608
     860   -2.883   -0.652
     861   -3.884   -2.341
     862   -5.455   -3.471
     863   -3.040   -1.148
     864   -5.228   -0.169
     865   -6.787   -1.085
     866   -5.540    0.219
     867   -4.924    0.101
     868   -6.194    1.800
     869   -5.634   -0.884
     870   -6.330   -0.147
     871   -6.328    0.311
     872   -6.922    0.100
     873   -6.769    3.270
     874   -7.700    2.022
     875   -7.446    3.623
     876   -6.968   -0.880
     877   -7.511    1.859
     878   -7.496    1.956
     879   -7.132    1.873
     880   -7.364    1.785
     881   -7.751    2.139
     882   -5.529    0.085
     883   -6.855    1.515
     884   -5.146   -1.631
     885   -6.783    0.167
     886   -6.364   -0.196
     887   -7.161    0.247
     888   -7.198    1.561
     889   -8.466    4.745
     890   -7.603    3.507
     891   -6.196    2.042
     892   -8.157    3.890
     893   -7.315    4.817
     894   -8.953    2.318
     895   -7.343    0.361
     896   -8.152    3.428
     897   -9.845    2.572
     898   -9.583    1.073
     899   -9.492    2.375
     900  -11.585    3.777
     901  -10.121   -0.464
     902   -8.714    0.820
     903  -10.662    2.207
     904  -11.383    1.399
     905  -10.386    0.186
     906   -9.816   -1.033
     907  -10.571   -0.561
     908  -11.842   -0.029
     909  -12.082    0.818
     910  -10.840   -2.543
     911   -9.600   -5.041
     912   -9.739   -5.751
     913   -8.537   -6.499
     914  -10.012   -7.391
     915  -10.156   -5.432
     916   -8.941   -4.615
     917   -8.656   -5.292
     918   -7.136   -6.316
     919   -6.313   -7.147
     920   -7.166   -4.772
     921   -7.733   -5.208
     922   -9.193   -3.607
     923   -6.782   -5.113
     924   -6.996   -3.870
     925   -7.313   -3.441
     926   -8.086   -8.821
     927  -10.178  -10.385
     928   -9.443   -6.828
     929  -10.167   -7.498
     930   -9.745   -5.570
     931   -7.821   -7.343
     932   -8.295   -4.311
     933   -8.356   -2.949
     934   -7.825   -3.541
     935   -8.030   -4.828
     936   -6.782   -3.622
     937   -8.646    0.547
     938   -8.921   -2.309
     939   -8.136   -2.460
     940   -9.914   -1.036
     941   -8.471   -1.648
     942   -8.269   -3.336
     943   -7.861   -4.432
     944   -6.533   -4.773
     945   -6.870   -4.924
     946   -6.985   -4.143
     947   -7.313   -1.632
     948   -7.216   -0.068
     949   -6.915   -2.177
     950   -7.158   -2.303
     951   -5.934   -2.512
     952   -7.416   -3.651
     953   -7.374   -2.033
     954   -5.736   -2.658
     955   -5.072   -1.230
     956   -5.244    0.078
     957   -5.190    1.668
     958   -5.773    2.720
     959   -5.856    0.879
     960   -7.546   -2.186
     961   -6.408   -1.241
     962   -6.405   -2.684
     963   -5.513   -4.158
     964   -6.979   -3.544
     965   -8.214   -3.450
     966   -7.606   -3.725
     967   -6.558   -4.539
     968   -5.601   -5.330
     969   -6.271   -7.421
     970   -7.661   -7.110
     971   -7.526   -5.052
